
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        136 K
Secure System                   72 Services                   0     22,676 K
Registry                       132 Services                   0     51,636 K
smss.exe                       460 Services                   0        304 K
csrss.exe                      604 Services                   0      2,112 K
wininit.exe                    700 Services                   0        768 K
services.exe                   832 Services                   0      7,240 K
LsaIso.exe                     856 Services                   0      1,044 K
lsass.exe                      864 Services                   0     14,648 K
svchost.exe                    996 Services                   0     21,624 K
fontdrvhost.exe               1020 Services                   0      1,300 K
svchost.exe                    880 Services                   0     16,068 K
svchost.exe                   1052 Services                   0      3,852 K
WUDFHost.exe                  1100 Services                   0      4,704 K
svchost.exe                   1188 Services                   0      1,220 K
svchost.exe                   1228 Services                   0      4,820 K
svchost.exe                   1240 Services                   0      3,840 K
IntelCpHDCPSvc.exe            1332 Services                   0      1,192 K
svchost.exe                   1340 Services                   0      2,380 K
svchost.exe                   1376 Services                   0      3,520 K
svchost.exe                   1392 Services                   0     10,336 K
IntelCpHeciSvc.exe            1524 Services                   0      1,592 K
svchost.exe                   1560 Services                   0      4,192 K
svchost.exe                   1660 Services                   0      8,116 K
svchost.exe                   1692 Services                   0      2,904 K
igfxCUIService.exe            1780 Services                   0      2,036 K
svchost.exe                   1900 Services                   0      3,672 K
SynTPEnhService.exe           2000 Services                   0      2,088 K
svchost.exe                   1412 Services                   0      9,548 K
WUDFHost.exe                  1776 Services                   0      9,048 K
svchost.exe                   1312 Services                   0      4,568 K
svchost.exe                   2076 Services                   0      7,516 K
svchost.exe                   2160 Services                   0      6,020 K
svchost.exe                   2168 Services                   0      1,452 K
svchost.exe                   2188 Services                   0      1,988 K
svchost.exe                   2280 Services                   0      5,656 K
svchost.exe                   2316 Services                   0      4,540 K
svchost.exe                   2340 Services                   0      4,108 K
svchost.exe                   2348 Services                   0     12,412 K
DiagsCap.exe                  2360 Services                   0      3,712 K
Memory Compression            2372 Services                   0    257,296 K
AppHelperCap.exe              2404 Services                   0      8,712 K
NetworkCap.exe                2440 Services                   0      3,560 K
TouchpointAnalyticsClient     2448 Services                   0     30,048 K
SysInfoCap.exe                2476 Services                   0     10,440 K
svchost.exe                   2600 Services                   0      6,840 K
svchost.exe                   2776 Services                   0      9,412 K
svchost.exe                   2800 Services                   0     11,388 K
WUDFHost.exe                  2820 Services                   0      1,920 K
svchost.exe                   2888 Services                   0      1,520 K
svchost.exe                   3180 Services                   0      3,700 K
svchost.exe                   3208 Services                   0      4,608 K
svchost.exe                   3324 Services                   0      1,584 K
svchost.exe                   3332 Services                   0      5,052 K
svchost.exe                   3536 Services                   0      7,964 K
svchost.exe                   3556 Services                   0      8,028 K
HotKeyServiceUWP.exe          3804 Services                   0      8,424 K
unsecapp.exe                  3816 Services                   0      2,844 K
svchost.exe                   4040 Services                   0      4,828 K
WmiPrvSE.exe                  4056 Services                   0      7,684 K
svchost.exe                   3204 Services                   0      8,616 K
svchost.exe                   3400 Services                   0      5,152 K
svchost.exe                   4180 Services                   0      3,672 K
svchost.exe                   4360 Services                   0      1,216 K
svchost.exe                   4552 Services                   0     10,436 K
svchost.exe                   4648 Services                   0      8,552 K
spoolsv.exe                   4720 Services                   0      3,856 K
svchost.exe                   4760 Services                   0     10,700 K
svchost.exe                   4848 Services                   0      2,536 K
FMService64.exe               3032 Services                   0      2,224 K
CxUtilSvc.exe                 2896 Services                   0      1,300 K
ibtsiva.exe                   5112 Services                   0      1,840 K
HidMonitorSvc.exe             4140 Services                   0      1,360 K
wslservice.exe                2956 Services                   0      4,768 K
svchost.exe                   1272 Services                   0      2,352 K
OfficeClickToRun.exe          5124 Services                   0     16,312 K
svchost.exe                   5132 Services                   0      2,688 K
ThunderboltService.exe        5140 Services                   0      4,408 K
WMIRegistrationService.ex     5160 Services                   0      1,296 K
RtkAudUService64.exe          5168 Services                   0      4,624 K
MpDefenderCoreService.exe     5176 Services                   0     12,124 K
svchost.exe                   5184 Services                   0     39,588 K
XtuService.exe                5216 Services                   0      8,072 K
svchost.exe                   5228 Services                   0      2,960 K
